utcDateTime;DemandaElect_ES_MWh
18/12/2014 0:00;25289,6667
18/12/2014 1:00;23822,8333
18/12/2014 2:00;23301,8333
18/12/2014 3:00;22952
18/12/2014 4:00;23435,1667
18/12/2014 5:00;25427,6667
18/12/2014 6:00;30034
18/12/2014 7:00;33404,8333
18/12/2014 8:00;34197,8333
18/12/2014 9:00;34611,5
18/12/2014 10:00;34270,6667
18/12/2014 11:00;33907,8333
18/12/2014 12:00;33638,3333
18/12/2014 13:00;32401
18/12/2014 14:00;31894
18/12/2014 15:00;31952,5
18/12/2014 16:00;32660,8333
18/12/2014 17:00;35184,1667
18/12/2014 18:00;35975,1667
18/12/2014 19:00;35979,5
18/12/2014 20:00;35531
18/12/2014 21:00;33191
18/12/2014 22:00;30136,8333
18/12/2014 23:00;27408,5
19/12/2014 0:00;25111
19/12/2014 1:00;23586,8333
19/12/2014 2:00;22903,5
19/12/2014 3:00;22666,3333
19/12/2014 4:00;23098,6667
19/12/2014 5:00;25385,6667
19/12/2014 6:00;29744,5
19/12/2014 7:00;33283
19/12/2014 8:00;34070
19/12/2014 9:00;34466,5
19/12/2014 10:00;34023,3333
19/12/2014 11:00;33518,8333
19/12/2014 12:00;33018
19/12/2014 13:00;31869,3333
19/12/2014 14:00;31065
19/12/2014 15:00;30936,6667
19/12/2014 16:00;31815
19/12/2014 17:00;34264
19/12/2014 18:00;34912,1667
19/12/2014 19:00;34688,3333
19/12/2014 20:00;33927,6667
19/12/2014 21:00;32165
19/12/2014 22:00;29727,6667
19/12/2014 23:00;27375
20/12/2014 0:00;25026,6667
20/12/2014 1:00;23297,5
20/12/2014 2:00;22250
20/12/2014 3:00;21850,6667
20/12/2014 4:00;21849,8333
20/12/2014 5:00;22419,1667
20/12/2014 6:00;23737,6667
20/12/2014 7:00;25368,1667
20/12/2014 8:00;27939,6667
20/12/2014 9:00;30131,8333
20/12/2014 10:00;30322,1667
20/12/2014 11:00;29758,5
20/12/2014 12:00;29720,5
20/12/2014 13:00;29218
20/12/2014 14:00;28203,5
20/12/2014 15:00;27448,5
20/12/2014 16:00;27907,8333
20/12/2014 17:00;30547,3333
20/12/2014 18:00;31326,3333
20/12/2014 19:00;31819,6667
20/12/2014 20:00;31663,3333
20/12/2014 21:00;30132,8333
20/12/2014 22:00;28152,1667
20/12/2014 23:00;25765
21/12/2014 0:00;23536,8333
21/12/2014 1:00;21905
21/12/2014 2:00;20876,6667
21/12/2014 3:00;20420,8333
21/12/2014 4:00;20479,1667
21/12/2014 5:00;20842
21/12/2014 6:00;21549,1667
21/12/2014 7:00;22375,5
21/12/2014 8:00;23970
21/12/2014 9:00;26342,1667
21/12/2014 10:00;27126,8333
21/12/2014 11:00;26814
21/12/2014 12:00;26947,5
21/12/2014 13:00;26956,6667
21/12/2014 14:00;25958,5
21/12/2014 15:00;25434,1667
21/12/2014 16:00;25791
21/12/2014 17:00;28546,6667
21/12/2014 18:00;29691,8333
21/12/2014 19:00;30644,6667
21/12/2014 20:00;31137,5
21/12/2014 21:00;30265,8333
21/12/2014 22:00;27802,8333
21/12/2014 23:00;24965,1667
22/12/2014 0:00;22907
22/12/2014 1:00;21458
22/12/2014 2:00;20971,5
22/12/2014 3:00;20823,3333
22/12/2014 4:00;21470,5
22/12/2014 5:00;23734
22/12/2014 6:00;27706,5
22/12/2014 7:00;31229,3333
22/12/2014 8:00;33382,1667
22/12/2014 9:00;34345
22/12/2014 10:00;33996,5
22/12/2014 11:00;33239,8333
22/12/2014 12:00;32939,1667
22/12/2014 13:00;31688,1667
22/12/2014 14:00;30700,3333
22/12/2014 15:00;30569,6667
22/12/2014 16:00;31239,5
22/12/2014 17:00;33693,1667
22/12/2014 18:00;34335,3333
22/12/2014 19:00;34312,8333
22/12/2014 20:00;34015,1667
22/12/2014 21:00;31914,3333
22/12/2014 22:00;29078,5
22/12/2014 23:00;26272,5
23/12/2014 0:00;23819,6667
23/12/2014 1:00;22347,6667
23/12/2014 2:00;21615
23/12/2014 3:00;21474,3333
23/12/2014 4:00;21994,5
23/12/2014 5:00;23805,1667
23/12/2014 6:00;27458
23/12/2014 7:00;30918,6667
