,Year,Day,Region
0,2015,1/01/2015,Nacional
1,2015,6/01/2015,Nacional
2,2015,28/02/2015,Andalucía
3,2015,19/03/2015,Comunidad Valenciana
4,2015,19/03/2015,Madrid
5,2015,19/03/2015,Murcia
6,2015,19/03/2015,Navarra
7,2015,19/03/2015,País Vasco
8,2015,20/03/2015,Galicia
9,2015,2/04/2015,Andalucía
10,2015,2/04/2015,Aragón
11,2015,2/04/2015,Asturias
12,2015,2/04/2015,Cantabria
13,2015,2/04/2015,Castilla y León
14,2015,2/04/2015,Castilla-La Mancha
15,2015,2/04/2015,Extremadura
16,2015,2/04/2015,Galicia
17,2015,2/04/2015,La Rioja
18,2015,2/04/2015,Madrid
19,2015,2/04/2015,Murcia
20,2015,2/04/2015,Navarra
21,2015,2/04/2015,País Vasco
22,2015,3/04/2015,Nacional
23,2015,6/04/2015,Cantabria
24,2015,6/04/2015,Castilla-La Mancha
25,2015,6/04/2015,Cataluña
26,2015,6/04/2015,Comunidad Valenciana
27,2015,6/04/2015,La Rioja
28,2015,6/04/2015,Navarra
29,2015,6/04/2015,País Vasco
30,2015,23/04/2015,Aragón
31,2015,23/04/2015,Castilla y León
32,2015,1/05/2015,Nacional
33,2015,2/05/2015,Madrid
34,2015,4/06/2015,Castilla-La Mancha
35,2015,4/06/2015,Madrid
36,2015,9/06/2015,La Rioja
37,2015,9/06/2015,Murcia
38,2015,24/06/2015,Cataluña
39,2015,25/07/2015,Galicia
40,2015,25/07/2015,Navarra
41,2015,25/07/2015,País Vasco
42,2015,15/08/2015,Nacional
43,2015,8/09/2015,Asturias
44,2015,8/09/2015,Extremadura
45,2015,11/09/2015,Cataluña
46,2015,15/09/2015,Cantabria
47,2015,9/10/2015,Comunidad Valenciana
48,2015,12/10/2015,Nacional
49,2015,2/11/2015,Andalucía
50,2015,2/11/2015,Aragón
51,2015,2/11/2015,Asturias
52,2015,2/11/2015,Cantabria
53,2015,2/11/2015,Castilla y León
54,2015,2/11/2015,Extremadura
55,2015,2/11/2015,Galicia
56,2015,7/12/2015,Andalucía
57,2015,7/12/2015,Aragón
58,2015,7/12/2015,Asturias
59,2015,7/12/2015,Castilla y León
60,2015,7/12/2015,Castilla-La Mancha
61,2015,7/12/2015,Comunidad Valenciana
62,2015,7/12/2015,Extremadura
63,2015,7/12/2015,La Rioja
64,2015,7/12/2015,Murcia
65,2015,8/12/2015,Nacional
66,2015,25/12/2015,Nacional
67,2015,26/12/2015,Cataluña
68,2016,1/01/2016,Nacional
69,2016,6/01/2016,Nacional
70,2016,29/02/2016,Andalucía
71,2016,24/03/2016,Andalucía
72,2016,24/03/2016,Aragón
73,2016,24/03/2016,Asturias
74,2016,24/03/2016,Baleares
75,2016,24/03/2016,Cantabria
76,2016,24/03/2016,Castilla y León
77,2016,24/03/2016,Castilla-La Mancha
78,2016,24/03/2016,Comunidad Valenciana
79,2016,24/03/2016,Extremadura
80,2016,24/03/2016,Galicia
81,2016,24/03/2016,La Rioja
82,2016,24/03/2016,Madrid
83,2016,24/03/2016,Murcia
84,2016,24/03/2016,Navarra
85,2016,24/03/2016,País Vasco
86,2016,25/03/2016,Nacional
87,2016,28/03/2016,Cataluña
88,2016,28/03/2016,Comunidad Valenciana
89,2016,28/03/2016,La Rioja
90,2016,28/03/2016,Navarra
91,2016,28/03/2016,País Vasco 
92,2016,2/05/2016,Andalucía
93,2016,2/05/2016,Aragón
94,2016,2/05/2016,Asturias
95,2016,2/05/2016,Castilla y León
96,2016,2/05/2016,Extremadura
97,2016,2/05/2016,Madrid
98,2016,16/05/2016,Cataluña
99,2016,17/05/2016,Galicia
100,2016,26/05/2016,Castilla-La Mancha
101,2016,31/05/2016,Castilla-La Mancha
102,2016,09/06/2016,La Rioja
103,2016,09/06/2016,Murcia
104,2016,24/06/2016,Cataluña
105,2016,24/06/2016,Galicia
106,2016,25/07/2016,Galicia
107,2016,25/07/2016,La Rioja
108,2016,25/07/2016,Madrid
109,2016,25/07/2016,Navarra
110,2016,25/07/2016,País Vasco
111,2016,28/07/2016,Cantabria
112,2016,15/08/2016,Nacional
113,2016,08/09/2016,Asturias
114,2016,08/09/2016,Extremadura
115,2016,15/09/2016,Cantabria
116,2016,07/10/2016,País Vasco
117,2016,12/10/2016,Nacional
118,2016,1/11/2016,Nacional
119,2016,6/12/2016,Nacional
120,2016,8/12/2016,Nacional
121,2016,26/12/2016,Andalucía
122,2016,26/12/2016,Aragón
123,2016,26/12/2016,Asturias
124,2016,26/12/2016,Cantabria
125,2016,26/12/2016,Castilla y León
126,2016,26/12/2016,Castilla-La Mancha
127,2016,26/12/2016,Cataluña
128,2016,26/12/2016,Comunidad Valenciana
129,2016,26/12/2016,Extremadura
130,2016,26/12/2016,Madrid
131,2016,26/12/2016,Murcia
132,2016,26/12/2016,Navarra
133,2017,2/01/2017,Andalucía
134,2017,2/01/2017,Aragón
135,2017,2/01/2017,Asturias
136,2017,2/01/2017,Castilla y León
137,2017,2/01/2017,Murcia
138,2017,6/01/2017,Nacional
139,2017,28/02/2017,Andalucía
140,2017,20/03/2017,Extremadura
141,2017,20/03/2017,Madrid
142,2017,13/04/2017,Andalucía
143,2017,13/04/2017,Aragón
144,2017,13/04/2017,Asturias
145,2017,13/04/2017,Cantabria
146,2017,13/04/2017,Castilla y León
147,2017,13/04/2017,Castilla-La Mancha
